feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
int_mean,-0.030285610139809117,0.27428279636551467,0.029786502805838097,-0.0254489147865427,0.21758769599720953,-0.09018042129369298,0.014549326728265867,-0.09872150099926362,0.0009713417745148662,0.07419032937315556,-0.02210630467671548,0.021106021881995972,-0.04135722788644573,-0.0015657020094720913,0.07903098790572617
int_std,-0.07429715263393952,0.06188328454556569,-0.0896482661450973,0.23692522443573102,-0.1835427645833556,0.28850430806388777,0.13000689240715335,-0.2781476093007521,-0.23102309591121298,0.29703462466688757,0.09969853692166376,0.22185914449560495,0.16450782803219963,-0.20706604471088003,-0.16393728216600045
int_skew,-0.061901069884445215,-0.24477860467381263,0.004968792646146081,-0.03673942267846676,0.21674333365154608,0.16397054640836584,-0.027189638954245084,-0.06656690654666228,-0.09521744985085821,0.10848078591912325,-0.06738670600082863,-0.09085240211805368,0.07683029472021277,-0.07400796711504314,-0.03655564993056022
int_kurtosis,-0.029710608986167064,-0.2194817883809857,-0.002681961056530029,-0.13975101785261188,0.33076751491197887,0.13437103079577428,-0.09293660857490527,-0.060501932153242566,-0.11106348268680155,0.05818605824594389,-0.051593230356914314,-0.14355090565007195,0.09480179064254349,-0.051831004325409054,-0.06833888393118946
int_contrast_lesion_bg,0.018729124053358262,-0.25884729673739687,-0.03178632586910646,0.0072820183377358405,-0.22258794642088264,0.09698657604999948,0.007549763686178254,0.0368186218536623,0.028111617086964816,0.020653332556015258,-0.026180591276751514,-0.05847095282755247,-0.021887318212935186,-0.09471745233564789,0.1625139038897254
int_delta_perilesional,-0.0455003642497711,-0.1772758463256508,0.11707578086786175,0.19081680440528964,-0.08499390392734685,0.1363616762429209,-0.03743599814742013,0.02448356702111476,0.039872702612954655,0.4807602000229498,-0.2885676242128975,-0.0850448374591754,-0.11156086540694421,0.11582374828904808,0.2822369542081705
morph_area_relative,0.17271862527563867,0.004254563232749739,-0.1725076943339734,0.1413903831360448,0.05662005131404085,0.05139457706022532,0.0521350949471826,-0.04429377468444681,-0.02447600967511972,-0.1334827883520472,-0.10788298313935969,0.011053637659012391,-0.1191554461720056,-0.08837810545082476,0.2129277119631428
morph_perimeter_px,0.18594957067752782,0.03167953132120601,-0.17525914542551052,-0.053825181864479044,-0.004477516504257623,0.13706801917316594,-0.005162360073746208,-0.025876666845181473,-0.0174118879056658,-0.019235780977753122,-0.1713605314428565,0.029385792436908968,-0.09711961938700278,0.1263396762784405,0.17817501857220774
morph_circularity,-0.09711588135820902,-0.10768970608777387,0.13221534784388703,0.36783404696683586,0.06501965454610203,-0.15005865317165562,-0.07509964641311112,-0.03773124353801832,0.012287539241609573,-0.01378832591158241,0.05498707586566729,-0.06725267681866137,0.014297698135958575,-0.051650796558055996,-0.0447138550654244
morph_irregularity,0.09711588135820905,0.1076897060877739,-0.132215347843887,-0.3678340469668357,-0.06501965454610206,0.15005865317165587,0.07509964641311123,0.03773124353801799,-0.012287539241609607,0.013788325911582466,-0.054987075865667395,0.06725267681866093,-0.014297698135958742,0.05165079655805612,0.04471385506542441
