rank,feature,importance,abs_loading_PC1,importance_pct
1,glcm_homogeneity_d1,0.1236640754394138,0.14543673431976084,2.2370819008658347
2,wav_L2_LH_kurt,0.11999266336129027,0.11292705684396359,2.1706660927064614
3,wav_L2_LH_entropy,0.11921982538846775,0.19599292961626236,2.156685461426441
4,wav_L1_LH_kurt,0.11857180850831278,0.15611661133769295,2.1449628424774927
5,wav_L1_LH_entropy,0.118556816324616,0.19572386706169265,2.144691634022787
6,glcm_homogeneity_d4,0.11803972699545896,0.11520442262585394,2.135337493175676
7,wav_L2_LL_entropy,0.117186189944748,0.2056412501523766,2.1198970163752864
8,wav_L2_HH_entropy,0.11613578085129386,0.1820210316246797,2.1008951262700037
9,wav_L1_LL_entropy,0.11592780712969136,0.2087442606857293,2.097132883704412
10,wav_L1_HL_kurt,0.11528287727874677,0.17063595111772467,2.085466109083329
11,wav_L1_HH_kurt,0.11457328826782237,0.15485438715191796,2.0726296508981066
12,wav_L2_HL_entropy,0.11398312260966485,0.19168105723840706,2.0619535599825713
13,wav_L1_HL_entropy,0.11349938928586975,0.18903601164376954,2.053202828942352
14,wav_L1_HH_entropy,0.11232371626585921,0.203008792333354,2.03193491564533
15,int_std,0.11161090448857174,0.07429715263393952,2.0190401576484933
16,wav_L2_HL_kurt,0.1111585753465178,0.11294255205863947,2.010857527945182
17,morph_irregularity,0.11062497143364473,0.09711588135820905,2.001204638442083
18,morph_circularity,0.11062497143364473,0.09711588135820902,2.001204638442083
19,wav_L2_HH_kurt,0.1094312070165837,0.16107514019935315,1.979609451951458
20,glcm_correlation_d1,0.10849382543327588,0.18507334887668936,1.9626522283861532
21,glcm_contrast_d4,0.10843348498754538,0.19621743027291244,1.9615606703200434
22,morph_perimeter_px,0.10803549866118249,0.18594957067752782,1.9543611016147837
23,wav_L2_HH_energy,0.10716212421035856,0.19805963060146015,1.93856176644267
24,int_delta_perilesional,0.1058173825379867,0.0455003642497711,1.9142354028976083
25,wav_L1_HH_mean,0.10565301356154307,0.14437714157854958,1.9112619697404092
26,glcm_contrast_d1,0.10513052627584116,0.1782919534530319,1.901810179912822
27,morph_area_relative,0.10508786139170863,0.17271862527563867,1.9010383725810944
28,wav_L1_HH_energy,0.10453291974208523,0.1724425415288169,1.8909994836313495
29,wav_L1_LH_energy,0.10438357444345239,0.1995210707690959,1.8882978286570673
30,wav_L2_HL_mean,0.10334565320965687,0.12839517592806912,1.8695218438094237
31,wav_L2_HL_energy,0.1029205352412819,0.18043839468734876,1.8618314639686717
32,wav_L1_HL_mean,0.10209679809343117,0.10747824746144204,1.8469300671161109
33,glcm_correlation_d4,0.10105790707955473,0.20492701384880807,1.8281365389564008
34,wav_L1_HL_energy,0.10096693519006884,0.18085954211499916,1.8264908583758983
35,glcm_entropy_d1,0.09942188622155668,0.011427899717532228,1.7985409378259858
36,int_skew,0.09940027204135139,0.061901069884445215,1.7981499375199756
37,wav_L2_LH_mean,0.09861026997401573,0.07164955492663005,1.7838588079400755
38,wav_L2_LL_energy,0.09809625257001658,0.045949972184342866,1.7745602381886691
39,wav_L1_LL_energy,0.09741715908005534,0.047923577920162067,1.7622754436758734
40,wav_L1_LL_kurt,0.09718311755864412,0.029741568931456953,1.7580416348697203
41,int_kurtosis,0.09649516849302153,0.029710608986167064,1.745596643080849
42,wav_L2_LL_kurt,0.09624473336256129,0.02922574819315607,1.7410662740492377
43,morph_extent,0.09594165219275297,0.05529877285556095,1.7355835386868275
44,wav_L2_LH_energy,0.09571195677726897,0.18256538331280736,1.7314283508938872
45,glcm_entropy_d4,0.09505796082359465,0.0040133983497731675,1.7195975705641455
46,wav_L2_LL_mean,0.09360186907913501,0.036866749461390895,1.693256885316984
47,wav_L1_LL_mean,0.09169758094499282,0.03181690607897552,1.6588083318160107
48,int_mean,0.09078077496621771,0.030285610139809117,1.6422233207330774
49,morph_solidity,0.09003472792880597,0.04347811854235846,1.6287273372095028
50,wav_L2_HH_mean,0.08954825563881637,0.08339919700916522,1.619927058297931
51,int_contrast_lesion_bg,0.08331687909062635,0.018729124053358262,1.5072015182095704
52,wav_L1_LH_mean,0.08185541926975297,0.04373613239694895,1.4807637245132093
53,morph_aspect_ratio_wh,0.07397730637390892,0.000536379900847221,1.338248740192602
