component,explained_variance_ratio,cumulative_explained_variance,retained
1,0.33094654159168563,0.33094654159168563,True
2,0.2015717224193589,0.5325182640110445,True
3,0.13782924461115603,0.6703475086222006,True
4,0.06422461472218102,0.7345721233443816,True
5,0.05115814416039763,0.7857302675047793,True
6,0.0403841592739767,0.8261144267787559,True
7,0.027716130818614838,0.8538305575973707,True
8,0.021977341817610532,0.8758078994149813,True
9,0.019529846601322266,0.8953377460163036,True
10,0.013070941996413758,0.9084086880127173,True
11,0.011919419781579248,0.9203281077942966,True
12,0.01069420385904696,0.9310223116533436,True
13,0.009329559605226091,0.9403518712585697,True
14,0.008092720668571427,0.9484445919271411,True
15,0.006424611473507417,0.9548692034006485,True
16,0.005616331460105844,0.9604855348607544,False
17,0.005135092430387921,0.9656206272911423,False
18,0.0038210189353662547,0.9694416462265085,False
19,0.003317932320329888,0.9727595785468384,False
20,0.0030547797073866133,0.975814358254225,False
21,0.0028580420096241967,0.9786724002638493,False
22,0.0027282052841660787,0.9814006055480153,False
23,0.0024534679949881543,0.9838540735430035,False
24,0.0020096399722564205,0.9858637135152599,False
25,0.001780866296432756,0.9876445798116926,False
26,0.0016738765872126701,0.9893184563989053,False
27,0.0015792352519715172,0.9908976916508768,False
28,0.0014982280448444215,0.9923959196957213,False
29,0.001292262144067998,0.9936881818397892,False
30,0.000990369871454178,0.9946785517112434,False
31,0.0008377144998403196,0.9955162662110837,False
32,0.0005993289699712367,0.996115595181055,False
33,0.0005522712710936114,0.9966678664521486,False
34,0.0005121186150202666,0.9971799850671689,False
35,0.00044952867772553773,0.9976295137448944,False
36,0.00042374560161340824,0.9980532593465078,False
37,0.0003601834637427535,0.9984134428102506,False
38,0.0003412159403728147,0.9987546587506234,False
39,0.00029919918145585213,0.9990538579320792,False
40,0.00021636861356802843,0.9992702265456472,False
41,0.00018900855298294064,0.9994592350986302,False
42,0.00014728248043362815,0.9996065175790638,False
43,0.00012460631782118368,0.999731123896885,False
44,9.806070255231174e-05,0.9998291845994374,False
45,7.103314386578457e-05,0.9999002177433032,False
46,4.392134190924557e-05,0.9999441390852124,False
47,2.6479472168317084e-05,0.9999706185573807,False
48,1.852326112984221e-05,0.9999891418185105,False
49,6.342466297659435e-06,0.9999954842848081,False
50,3.4708176377659086e-06,0.9999989551024459,False
51,8.477220260233466e-07,0.9999998028244719,False
52,1.9717552826865315e-07,1.0000000000000002,False
53,2.0566401276068313e-33,1.0000000000000002,False
