epoch,stage,train_loss,val_loss,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,tn,fp,fn,tp,learning_rate
1,head,0.5712484877418589,0.39889120683074,0.8541666666666666,0.796875,0.625,0.96875,0.9090909090909091,0.7407407407407407,0.98046875,31,1,6,10,0.001
2,head,0.41623809105820125,0.2644924422105153,0.9583333333333334,0.953125,0.9375,0.96875,0.9375,0.9375,0.990234375,31,1,1,15,0.001
3,head,0.34200577796609316,0.2159613072872162,0.9791666666666666,0.984375,1.0,0.96875,0.9411764705882353,0.9696969696969697,0.9921875,31,1,0,16,0.001
4,head,0.3828952271077368,0.20801935717463493,0.9583333333333334,0.953125,0.9375,0.96875,0.9375,0.9375,0.9921875,31,1,1,15,0.001
5,head,0.33955867650608224,0.18997921297947565,0.9791666666666666,0.984375,1.0,0.96875,0.9411764705882353,0.9696969696969697,0.994140625,31,1,0,16,0.001
6,fine,0.26343528319288184,0.18337605707347393,0.9791666666666666,0.984375,1.0,0.96875,0.9411764705882353,0.9696969696969697,0.990234375,31,1,0,16,0.0001
7,fine,0.1934113642890696,0.17338342436899742,0.9583333333333334,0.96875,1.0,0.9375,0.8888888888888888,0.9411764705882353,0.990234375,30,2,0,16,0.0001
8,fine,0.24682101898792166,0.1410893745099505,0.9791666666666666,0.984375,1.0,0.96875,0.9411764705882353,0.9696969696969697,0.9921875,31,1,0,16,0.0001
