component,explained_variance_ratio,cumulative_explained_variance,retained
1,0.32109986429423404,0.32109986429423404,True
2,0.22861214150161305,0.5497120057958471,True
3,0.09860250517694089,0.648314510972788,True
4,0.059335005961327465,0.7076495169341155,True
5,0.04586484428801533,0.7535143612221308,True
6,0.03445071047605865,0.7879650716981894,True
7,0.026796633080594472,0.8147617047787838,True
8,0.02457160887787945,0.8393333136566633,True
9,0.020858517195731393,0.8601918308523947,True
10,0.01741553230179261,0.8776073631541873,True
11,0.016361145129178228,0.8939685082833655,True
12,0.015464413750627803,0.9094329220339933,True
13,0.014653836208409316,0.9240867582424026,True
14,0.010292325821827106,0.9343790840642298,True
15,0.009517109448648345,0.9438961935128781,True
16,0.007720825900063021,0.9516170194129412,True
17,0.007022283013054359,0.9586393024259956,False
18,0.005697690215562987,0.9643369926415586,False
19,0.005136168113571247,0.9694731607551298,False
20,0.00380768641220113,0.9732808471673309,False
21,0.003262711117584301,0.9765435582849151,False
22,0.002936809647774877,0.97948036793269,False
23,0.0025046703003644656,0.9819850382330545,False
24,0.002440610190419267,0.9844256484234738,False
25,0.001961336085609103,0.9863869845090829,False
26,0.0017183528677112846,0.9881053373767942,False
27,0.0016322533239238209,0.989737590700718,False
28,0.0013433313361368054,0.9910809220368548,False
29,0.0012194720647173878,0.9923003941015722,False
30,0.001059570438650293,0.9933599645402226,False
31,0.0009577406404002045,0.9943177051806228,False
32,0.0008405380188850717,0.9951582431995079,False
33,0.0008027804637543191,0.9959610236632622,False
34,0.0006740899581043796,0.9966351136213666,False
35,0.00056932230074196,0.9972044359221085,False
36,0.0005355330834558732,0.9977399690055644,False
37,0.0004977485091522887,0.9982377175147167,False
38,0.0003323519862840667,0.9985700695010008,False
39,0.00028448212321831046,0.9988545516242191,False
40,0.00027658158902403004,0.9991311332132431,False
41,0.00021449243123687926,0.9993456256444799,False
42,0.00018095757954465078,0.9995265832240245,False
43,0.00016938626707666815,0.9996959694911012,False
44,0.0001345117801465308,0.9998304812712477,False
45,7.588019367257721e-05,0.9999063614649203,False
46,5.026437665325833e-05,0.9999566258415735,False
47,2.419835048040149e-05,0.9999808241920539,False
48,1.0153531182362451e-05,0.9999909777232363,False
49,5.090732753786831e-06,0.9999960684559901,False
50,3.176350712588056e-06,0.9999992448067027,False
51,5.999806807408037e-07,0.9999998447873834,False
52,1.552126164261872e-07,0.9999999999999998,False
53,2.0766596807012374e-33,0.9999999999999998,False
