feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
int_mean,0.03927978490676736,0.2552385574330199,-0.001805145330320666,0.1998251664541991,0.014421042244545854,0.1233929668334057,-0.02337660704508204,0.04891072926640342,0.03561128021581167,-0.07116424855657953,-0.029376563327725834,-0.06539668355791861,0.08120908896593879,-0.04017485745207327,0.029399432289623516,0.057620413359365845
int_std,0.003315640594626218,0.11017691995757961,0.20391128031305294,-0.29404830016160355,0.10585540773658099,0.011956978585363494,-0.08439479452379159,0.15766447670819791,0.11024966724485212,0.13532975152713936,-0.3515170835280497,-0.057206552075422586,-0.018623520400261454,-0.41797688745109673,0.0799843755074208,0.01995021857778076
int_skew,-0.10065355257968811,-0.20902245611931924,0.13040963314195517,0.1583774317891855,-0.061976038338176,-0.13885212775222378,0.029875377652870988,0.06875200250445686,-0.006358284204417267,-0.01704556980450528,-0.12793248653297795,-0.07160848321619641,-0.05476622804229383,-0.08804703491845589,0.0202643743451154,-0.013401655377313304
int_kurtosis,-0.06421169094465184,-0.18510353109327948,0.13171128113262273,0.2966589711359844,-0.08136270030131419,-0.10191233276286635,0.035782101394754774,0.10238571331155401,-0.03138005173636573,-0.03545549723919211,-0.19001811391566997,-0.19388981536127442,-0.0975491028720872,-0.06507071739274997,0.03497404745337512,-0.032903579998024714
int_contrast_lesion_bg,-0.0386323259315456,-0.24618772657762672,-0.00671367592379362,-0.1955435547109461,0.014533173131075678,-0.11456161948752325,0.025285765398830776,-0.051109239439554005,0.023764712020635625,0.03173226369096871,0.04198174942118474,-0.007387398914750154,-0.05400574948445902,0.001550877851816096,-0.045247181290691066,-0.017032358847823614
int_delta_perilesional,-0.11296798257977606,-0.14869777998724318,-0.07800978840730505,-0.19549596251794238,0.09371282296376084,-0.13867054324377381,0.0825585229496404,0.14062853913868534,0.0017629335467351029,-0.1139989154937015,-0.10579080106627077,-0.13411335969124683,-0.04886028993960778,-0.21296409164176114,-0.1038010582956347,0.4520461698157661
morph_area_relative,0.18568529453208277,-0.05753026302104849,0.14552112955994578,-0.07945571417573641,0.17711524841120085,0.044052555142296335,0.08398561999210663,0.06325416157795724,-0.017991473242808892,-0.029919490509141417,0.07965694000362533,-0.06182470543210314,-0.006145251666584167,0.08842930102473073,0.08469119677218276,-0.006567090734125036
morph_perimeter_px,0.20971522450706861,-0.051894081849033144,0.16485676401838278,-0.07187256545923383,0.03166579777306448,-0.014049057829941869,0.053213959021035005,0.0410404790866713,0.0037789840368874783,-0.06441092856368252,0.05652112749080314,-0.047384707088808264,0.011837946216430778,0.025660176445788642,0.06147538063907804,0.017117498984066407
morph_circularity,-0.11787314315431562,-0.08573959376313911,-0.16292313822076215,0.07149057110658608,0.43524869380214193,0.04790148629922401,-0.10027993120586187,0.042743454629666,0.025730405320620264,0.04575535658917965,-0.0025308974125766645,-0.16057880080987458,0.013529819605801352,0.037801947758830445,0.020020162798578517,-0.018971857174115342
morph_irregularity,0.11787314315431562,0.08573959376313904,0.1629231382207622,-0.07149057110658608,-0.43524869380214115,-0.04790148629922397,0.10027993120586157,-0.04274345462966603,-0.02573040532062021,-0.04575535658917959,0.0025308974125767894,0.1605788008098744,-0.013529819605801144,-0.03780194775883053,-0.02002016279857835,0.018971857174115037
morph_aspect_ratio_wh,0.011428333206755866,0.13078410732721418,0.10106148092107452,0.15418995506770913,-0.09885107967613738,-0.3088496941711987,0.3596243751070486,0.08099917603148188,0.024665266029025773,0.02169870039034913,-0.012379036449135308,0.5052307366581412,-0.021475529315014508,-0.04420182557109154,-0.15200028416905725,0.15055479014437392
morph_solidity,-0.10783816814363678,-0.021274518599592288,-0.09102223070892726,0.20398936835982526,0.41340054526047737,-0.1416796188959393,0.14313337779851337,0.06109667878925615,0.06980260981979847,0.08884844087880245,-0.010633495388861547,0.19305940281217726,0.02450487231128362,0.1216724786935634,-0.1306276034185397,0.13915309903097836
morph_extent,-0.11223758162162241,-0.04854684628093214,-0.1425343290417156,0.0918371858327293,0.40302475490355394,-0.11216259387785463,0.1835284470580142,0.09582599847762412,0.005130172375568731,0.0009557371887597421,0.06173863739608317,0.12644162707552944,0.026696335339991134,-0.03130837248804483,0.1369674215391339,-0.13193868112021623
