component,explained_variance_ratio,cumulative_explained_variance,retained
1,0.3309465415916862,0.3309465415916862,True
2,0.20157172241935872,0.5325182640110449,True
3,0.13782924461115578,0.6703475086222006,True
4,0.06422461472218093,0.7345721233443815,True
5,0.051158144160397705,0.7857302675047791,True
6,0.04038415927397661,0.8261144267787558,True
7,0.02771613081861486,0.8538305575973707,True
8,0.021977341817610557,0.8758078994149813,True
9,0.01952984660132227,0.8953377460163036,True
10,0.013070941996413761,0.9084086880127173,True
11,0.011919419781579257,0.9203281077942966,True
12,0.01069420385904695,0.9310223116533436,True
13,0.009329559605226082,0.9403518712585697,True
14,0.008092720668571434,0.9484445919271411,True
15,0.006424611473507419,0.9548692034006485,True
16,0.005616331460105849,0.9604855348607544,False
17,0.005135092430387926,0.9656206272911423,False
18,0.003821018935366255,0.9694416462265085,False
19,0.0033179323203298898,0.9727595785468384,False
20,0.0030547797073866164,0.975814358254225,False
21,0.002858042009624199,0.9786724002638493,False
22,0.0027282052841660796,0.9814006055480153,False
23,0.002453467994988154,0.9838540735430035,False
24,0.0020096399722564205,0.9858637135152599,False
25,0.0017808662964327539,0.9876445798116926,False
26,0.0016738765872126684,0.9893184563989053,False
27,0.0015792352519715179,0.9908976916508768,False
28,0.0014982280448444189,0.9923959196957213,False
29,0.0012922621440679975,0.9936881818397892,False
30,0.000990369871454179,0.9946785517112434,False
31,0.0008377144998403196,0.9955162662110837,False
32,0.0005993289699712366,0.996115595181055,False
33,0.0005522712710936118,0.9966678664521486,False
34,0.000512118615020266,0.9971799850671689,False
35,0.00044952867772553784,0.9976295137448944,False
36,0.00042374560161340856,0.9980532593465078,False
37,0.0003601834637427532,0.9984134428102506,False
38,0.00034121594037281474,0.9987546587506234,False
39,0.00029919918145585186,0.9990538579320792,False
40,0.00021636861356802827,0.9992702265456472,False
41,0.00018900855298294113,0.9994592350986302,False
42,0.00014728248043362823,0.9996065175790638,False
43,0.00012460631782118368,0.999731123896885,False
44,9.806070255231189e-05,0.9998291845994374,False
45,7.103314386578446e-05,0.9999002177433032,False
46,4.3921341909245614e-05,0.9999441390852124,False
47,2.647947216831704e-05,0.9999706185573807,False
48,1.8523261129842242e-05,0.9999891418185105,False
49,6.342466297659429e-06,0.9999954842848081,False
50,3.470817637765912e-06,0.9999989551024459,False
51,8.47722026023343e-07,0.9999998028244719,False
52,1.971755282686516e-07,1.0000000000000002,False
53,2.05664012760683e-33,1.0000000000000002,False
