model,mask_source,split,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc
EfficientNet-B0,auto,test,0.8085106382978723,0.7943548387096775,0.75,0.8387096774193549,0.7058823529411765,0.7272727272727273,0.8629032258064516
EfficientNet-B0,manual,test,0.9574468085106383,0.9526209677419356,0.9375,0.967741935483871,0.9375,0.9375,0.993951612903226
SVM-RBF,auto,test,0.851063829787234,0.8870967741935484,1.0,0.7741935483870968,0.6956521739130435,0.8205128205128205,0.9213709677419356
SVM-RBF,manual,test,0.9574468085106383,0.967741935483871,1.0,0.935483870967742,0.8888888888888888,0.9411764705882352,1.0
