group,n,dice_mean,dice_std,dice_median,dice_min,dice_max,iou_mean,iou_std,iou_median,iou_min,iou_max,n_dice_equal_zero,n_dice_le_0_10,n_dice_lt_0_50
global,315,0.7526971428571428,0.2386128752059682,0.8422,0.0,0.9687,0.6502580952380952,0.2485799388326071,0.7275,0.0,0.9394,5,13,46
benign,211,0.7783715639810427,0.23991942120233994,0.8808,0.0,0.9687,0.685585308056872,0.25022035885035204,0.7869,0.0,0.9394,3,9,29
malignant,104,0.7006076923076924,0.2271936236630247,0.7844,0.0,0.9476,0.5785846153846154,0.2290475646644125,0.64525,0.0,0.9004,2,4,17
