model,mask_source,run_name,split,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,tn,fp,fn,tp,dropout,padding,head_lr,fine_lr,seed
EfficientNet-B0,manual,final_manual,val,0.9791666666666666,0.984375,1.0,0.96875,0.9411764705882353,0.9696969696969697,0.9921875,31,1,0,16,0.3,0.15,0.001,0.0001,42
EfficientNet-B0,manual,final_manual,test,0.9574468085106383,0.9526209677419355,0.9375,0.967741935483871,0.9375,0.9375,0.9939516129032259,30,1,1,15,0.3,0.15,0.001,0.0001,42
