epoch,stage,train_loss,val_loss,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,tn,fp,fn,tp,learning_rate
1,head,0.577337531303918,0.42043225715557736,0.875,0.8125,0.625,1.0,1.0,0.7692307692307693,0.982421875,32,0,6,10,0.001
2,head,0.4303542806042565,0.32023119926452637,0.9166666666666666,0.9375,1.0,0.875,0.8,0.8888888888888888,0.974609375,28,4,0,16,0.001
3,head,0.3507664417503057,0.25891875351468724,0.9375,0.953125,1.0,0.90625,0.8421052631578947,0.9142857142857143,0.990234375,29,3,0,16,0.001
4,head,0.3746611142048129,0.23091702163219452,0.9375,0.9375,0.9375,0.9375,0.8823529411764706,0.9090909090909091,0.98828125,30,2,1,15,0.001
5,head,0.3658552213261525,0.23660214245319366,0.9375,0.9375,0.9375,0.9375,0.8823529411764706,0.9090909090909091,0.982421875,30,2,1,15,0.001
6,fine,0.26096049751396533,0.20351189995805422,0.9583333333333334,0.953125,0.9375,0.96875,0.9375,0.9375,0.98828125,31,1,1,15,0.0001
7,fine,0.22426284604740362,0.1871669084454576,0.9375,0.9375,0.9375,0.9375,0.8823529411764706,0.9090909090909091,0.984375,30,2,1,15,0.0001
8,fine,0.2622639346453879,0.16073786653578281,0.9375,0.9375,0.9375,0.9375,0.8823529411764706,0.9090909090909091,0.990234375,30,2,1,15,0.0001
